code,name,population,lat,long,closestHospName,closestHospDist,closestTertHospName,closestTertHospDist
393,Gal'on,549.0,31.633371,34.848898,Barzilay,34,Hadasa Ein Carem,51
1072,Gan HaDarom,614.0,31.804056,34.699870000000004,Asuta Ashdod,9,Shiba,36
225,Gan HaShomeron,840.0,32.465007,34.999047,Hilel Yafe,12,Rambam,53
239,Gan Hayyim,834.0,32.195761,34.906957,Meir,3,Belinson,16
1274,Gan Ner,2704.0,32.528706,35.336254,Haemek,15,Rambam,55
144,Gan Shelomo,572.0,31.878777000000003,34.798901,Kaplan,3,Shiba,27
72,Gan Shemu'el,929.0,32.452911,34.949311,Hilel Yafe,8,Rambam,52
311,Gan Soreq,688.0,31.944011,34.758322,Wolfson,13,Shiba,17
166,Gan Yavne,23752.0,31.783056,34.703101000000004,Asuta Ashdod,6,Shiba,41
734,Gan Yoshiyya,990.0,32.349487,34.996245,Hilel Yafe,21,Belinson,46
218,Ganne Am,242.0,32.149838,34.903358000000004,Meir,5,Belinson,11
1103,Ganne Hadar,321.0,31.8782413,34.857588,Kaplan,5,Shiba,31
3823,Ganne Modi'in,2488.0,31.93081,35.017805,Kaplan,28,Shiba,33
1371,Ganne Tal,802.0,31.793796,34.792327,Kaplan,12,Shiba,42
229,Ganne Tiqwa,19263.0,32.060497,34.873121000000005,Belinson,4,Belinson,4
862,Ganne Yohanan,629.0,31.859924,34.840827000000004,Kaplan,5,Shiba,32
836,Gannot,589.0,32.018204,34.825877,Shiba,6,Shiba,6
549,Gannot Hadar,960.0,32.321740000000005,34.900715000000005,Laniado,7,Belinson,31
128,Gat Rimmon,312.0,32.068105,34.881362,Belinson,5,Belinson,5
340,Gat(Qibbuz),827.0,31.627796000000004,34.794112,Barzilay,29,Soroka,47
457,Gazit,725.0,32.639307,35.446239,Haemek,21,Rambam,74
706,Ge'a,970.0,31.628467,34.602678000000004,Barzilay,9,Shiba,59
853,Ge'alya,990.0,31.885644,34.765351,Kaplan,7,Shiba,25
872,Ge'ule Teman,363.0,32.391837,34.900989,Hilel Yafe,8,Belinson,38
379,Ge'ulim,954.0,32.296487,34.943862,Laniado,13,Belinson,32
